text,label,source_url
Campionats de Catalunya,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
between 1909 and 1911,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Copa del del Rey,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
four years between 1910 and 1913,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Pyrenees Cup,EVENT,https://en.wikipedia.org/wiki/FC_Barcelona
the inaugural year,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
1910,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
1913,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
The Pyrenees Cup,EVENT,https://en.wikipedia.org/wiki/FC_Barcelona
Languedoc,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Midi,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
the Basque Country,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Catalonia,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Barça,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Carles Comamala,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Alfredo Massana,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Amechazurra,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Paco Bru,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Jack,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Castilian,NORP,https://en.wikipedia.org/wiki/FC_Barcelona
Catalan,NORP,https://en.wikipedia.org/wiki/FC_Barcelona
Catalan,NORP,https://en.wikipedia.org/wiki/FC_Barcelona
4 February 1917,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Ramón Torralba,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
1913 to 1928,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Terrassa,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
1922,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
the 1940s,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
1912,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Gamper,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Paulino Alcántara,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
1917,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Gamper,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Jack Greenwell,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Alcántara,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Barça,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Greenwell,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Sagibarba,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Ricardo Zamora,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Josep Samitier,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Félix Sesúmaga,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Franz,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Campionats de Catalunya,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
between 1919 and 1928,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Rey,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
1920,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
1922,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Gamper,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Campionats de Catalunya,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Pyrenees,NORP,https://en.wikipedia.org/wiki/FC_Barcelona
Primo de Rivera,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
14 June 1925,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Primo de Rivera's,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
March,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
six months,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Gamper,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
3 July 1927,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Paulino Alcántara,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Spanish,NORP,https://en.wikipedia.org/wiki/FC_Barcelona
Josep Canudas,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
1928,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
the Spanish Cup,EVENT,https://en.wikipedia.org/wiki/FC_Barcelona
the Generation of '27,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Rafael Alberti,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Franz,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
23 June 1929,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Spanish League,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
A year,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
30 July 1930,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Civil War:,EVENT,https://en.wikipedia.org/wiki/FC_Barcelona
Sunyol,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Josep Escolà,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Attendance,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
the Campionat de Catalunya,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
1930,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
1931,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
1932,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
1934,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
1936,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
1937,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
the Mediterranean League,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
A month,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
the Spanish Civil War,EVENT,https://en.wikipedia.org/wiki/FC_Barcelona
1936,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Athletic,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
6 August,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Falangist,NORP,https://en.wikipedia.org/wiki/FC_Barcelona
Guadarrama,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Josep Sunyol,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Catalan,NORP,https://en.wikipedia.org/wiki/FC_Barcelona
the summer of 1937,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Mexico,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
the United States,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Mexico,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
France,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
16 March 1938,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
the Italian Air Force,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
A few months later,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Catalonia,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Spain,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Catalan,NORP,https://en.wikipedia.org/wiki/FC_Barcelona
non-Spanish,NORP,https://en.wikipedia.org/wiki/FC_Barcelona
Club de Fútbol Barcelona,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Catalan,NORP,https://en.wikipedia.org/wiki/FC_Barcelona
Franco,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
1943,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Real Madrid,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Copa del Generalísimo,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona 3–0,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Madrid,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Sid Lowe,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Madrid,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Madrid,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Paco Aguilar,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
CF Barcelona,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
the 1940s and 1950s,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
1945,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Josep Samitier,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
"César, Ramallets and",ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Velasco,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
1929,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
1948,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
1949,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
June 1950,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
László Kubala,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Sunday of 1951,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Francoist,NORP,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
CF Barcelona,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Catalonia,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Spaniards,NORP,https://en.wikipedia.org/wiki/FC_Barcelona
Ferdinand Daučík,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
László Kubala,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
1952,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
La Liga,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
the Copa del Generalísimo,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
the Copa Latina,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
the Copa Eva Duarte,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
